Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,9,0.31,0.01,0.6876193125445079,0.6876193125445079
75% Corpus,9,0.31,0.31,0.6920319837879958,0.6920319837879958
75% Corpus,9,0.31,0.61,0.685033449143679,0.685033449143679
75% Corpus,9,0.31,0.9099999999999999,0.6850044408186734,0.6850044408186734
75% Corpus,9,0.31,symmetric,0.6862840092810037,0.6862840092810037
75% Corpus,9,0.61,0.01,0.7127852022487408,0.7127852022487408
75% Corpus,9,0.61,0.31,0.6812637889104054,0.6812637889104054
75% Corpus,9,0.61,0.61,0.6518984508771313,0.6518984508771313
75% Corpus,9,0.61,0.9099999999999999,0.5864633149806349,0.5864633149806349
75% Corpus,9,0.61,symmetric,0.6992245223997865,0.6992245223997865
75% Corpus,9,0.9099999999999999,0.01,0.7263194330534917,0.7263194330534917
75% Corpus,9,0.9099999999999999,0.31,0.6667786014665102,0.6667786014665102
75% Corpus,9,0.9099999999999999,0.61,0.6939025887793335,0.6939025887793335
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.6905618941899722,0.6905618941899722
75% Corpus,9,0.9099999999999999,symmetric,0.7084886058736124,0.7084886058736124
75% Corpus,9,symmetric,0.01,0.7070999384437093,0.7070999384437093
75% Corpus,9,symmetric,0.31,0.6884236656020221,0.6884236656020221
75% Corpus,9,symmetric,0.61,0.6802159771079507,0.6802159771079507
75% Corpus,9,symmetric,0.9099999999999999,0.6769267332217237,0.6769267332217237
75% Corpus,9,symmetric,symmetric,0.6932997098608562,0.6932997098608562
75% Corpus,9,asymmetric,0.01,0.5690210729667124,0.5690210729667124
75% Corpus,9,asymmetric,0.31,0.490435645349243,0.490435645349243
75% Corpus,9,asymmetric,0.61,0.4707907747970029,0.4707907747970029
75% Corpus,9,asymmetric,0.9099999999999999,0.4790372352664233,0.4790372352664233
75% Corpus,9,asymmetric,symmetric,0.5207473845592886,0.5207473845592886
75% Corpus,10,0.01,0.01,0.6667392275874282,0.6667392275874282
75% Corpus,10,0.01,0.31,0.6516943816094459,0.6516943816094459
75% Corpus,10,0.01,0.61,0.649579769847349,0.649579769847349
75% Corpus,10,0.01,0.9099999999999999,0.6381919459348467,0.6381919459348467
75% Corpus,10,0.01,symmetric,0.6663722577880655,0.6663722577880655
75% Corpus,10,0.31,0.01,0.683007460989246,0.683007460989246
75% Corpus,10,0.31,0.31,0.6782342208526706,0.6782342208526706
75% Corpus,10,0.31,0.61,0.6785284585510967,0.6785284585510967
75% Corpus,10,0.31,0.9099999999999999,0.675653215552244,0.675653215552244
75% Corpus,10,0.31,symmetric,0.6802392080433197,0.6802392080433197
75% Corpus,10,0.61,0.01,0.6940348672020504,0.6940348672020504
75% Corpus,10,0.61,0.31,0.6673982390926717,0.6673982390926717
75% Corpus,10,0.61,0.61,0.6240394673672963,0.6240394673672963
75% Corpus,10,0.61,0.9099999999999999,0.5422165501155536,0.5422165501155536
75% Corpus,10,0.61,symmetric,0.6814708397952974,0.6814708397952974
75% Corpus,10,0.9099999999999999,0.01,0.6957880690426472,0.6957880690426472
75% Corpus,10,0.9099999999999999,0.31,0.6414933123655998,0.6414933123655998
75% Corpus,10,0.9099999999999999,0.61,0.6992114839828094,0.6992114839828094
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.7010792331880285,0.7010792331880285
75% Corpus,10,0.9099999999999999,symmetric,0.699479610450943,0.699479610450943
75% Corpus,10,symmetric,0.01,0.6903209810124222,0.6903209810124222
75% Corpus,10,symmetric,0.31,0.6565523912373464,0.6565523912373464
75% Corpus,10,symmetric,0.61,0.6526477638145639,0.6526477638145639
75% Corpus,10,symmetric,0.9099999999999999,0.6489608492922506,0.6489608492922506
75% Corpus,10,symmetric,symmetric,0.6694490146234784,0.6694490146234784
